name,s,betx,bety,alfx,alfy,dx,dy,mux,muy
M3E,24.51240398846153,113.83340325725834,91.95646210029327,-44.308989768138964,46.47989479336668,-0.3531586194898217,-6.936913007562086e-19,0.654121714555731,0.11718636899443435
DM3Q,24.51240398846153,113.83340325725834,91.95646210029327,-44.308989768138964,46.47989479336668,-0.3531586194898217,-6.936913007562086e-19,0.654121714555731,0.11718636899443435
Q3EL_1,24.669585988461527,128.18887946612742,77.92556018930523,-47.021291109245524,42.7854276416979,-0.3776082009043069,-5.964308998810931e-19,0.6543288064158523,0.1174818925465041
DQ3E::0,25.383785988461526,165.45527919466448,39.5784596229418,-0.9866563627255679,15.06618695874529,-0.44069003289066055,-2.08692180736014e-19,0.6550789693710504,0.11961020362120423
Q3EL_2,25.613185988461524,165.90858481823173,32.969233375551546,-0.989392563025137,13.744738269634443,-0.44473036320999415,-9.66771392229035e-20,0.6552993325049874,0.12062092766283039
D5EA1,26.327385988461522,130.94230598578298,21.688082526733655,46.034239656021605,3.274352652919883,-0.4053608338638488,2.543097084961501e-19,0.6560405516767724,0.1250415397962754
MS2EL,26.56826098846152,109.70475375888678,20.14202062241276,42.13411416607128,3.144171080638536,-0.37508682101664936,3.780813416945645e-19,0.6563604113106052,0.12687579338227528
S2EL_1,26.56826098846152,109.70475375888678,20.14202062241276,42.13411416607128,3.144171080638536,-0.37508682101664936,3.780813416945645e-19,0.6563604113106052,0.12687579338227528
AS2EL,26.94926098846155,79.9489318431752,17.824614931710872,35.96515596265241,2.9382585536562003,-0.32720140784309704,5.738552285737415e-19,0.6570078926388159,0.13007625616329221
S2EL_2,26.94926098846155,79.9489318431752,17.824614931710872,35.96515596265241,2.9382585536562003,-0.32720140784309704,5.738552285737415e-19,0.6570078926388159,0.13007625616329221
D5EB1,27.33026098846152,54.893856081581085,15.664114586039531,29.796197744795634,2.7323460280790917,-0.2793159946450116,7.696294667811955e-19,0.6579232260158439,0.13370553003852903
DXC2E::0,27.549146988461523,42.62566685957041,14.493863679212906,26.252106952675902,2.6140484732897327,-0.251805636231461,8.821026372656544e-19,0.6586434078055519,0.13601763944608236
XC2E,27.67914698846152,36.07375525696229,13.823344728725308,24.147213067385927,2.543789607384117,-0.23546678133091187,9.489023054170201e-19,0.6591710420922001,0.13747938214794386
DXC2E::1,27.67914698846152,36.07375525696229,13.823344728725308,24.147213067385927,2.543789607384117,-0.23546678133091187,9.489023054170201e-19,0.6591710420922001,0.13747938214794386
D5EC1A,27.80914698846152,30.069116064529663,13.171093083373167,22.042319182096,2.473530741478502,-0.21912792643036277,1.0157019735683823e-18,0.6597992575288032,0.1390127724916541
YC2181,28.554202988461522,6.2116253406103565,9.785265163660744,9.978751346722348,2.070863129200239,-0.12548668122433576,1.3985442316774878e-18,0.6684800914552667,0.14946536668608124
D5EC1B,28.554202988461522,6.2116253406103565,9.785265163660744,9.978751346722348,2.070863129200239,-0.12548668122433576,1.3985442316774878e-18,0.6684800914552667,0.14946536668608124
S3EL_1,29.283735988461522,0.269378157202307,7.051378112451353,-1.8334759672562353,1.6765849659639211,-0.033796420976933535,1.773410095565719e-18,1.07311548461732,0.16346129370924156
DS3E::0,29.533735988461522,2.1980843549096796,6.2468639303736975,-5.881348823577146,1.5414717622913998,-0.002375546168179975,1.901871007385152e-18,1.1257791632871756,0.16945775273704766
Q4EL_1,29.77343598846152,5.94790276949847,5.538934673090812,-9.76244931822005,1.4119252226184236,0.027750788598458,2.025039340691005e-18,1.1363376741159565,0.17594505730428134
DQ4E::0,30.48763598846152,23.381138433554128,5.14456375965409,-12.297658693555054,-0.8085635967637723,0.10949779869745924,2.703223267915941e-18,1.145533012856317,0.19833214067464633
Q4EL_2,30.717035988461518,29.36593653680393,5.532449401683535,-13.791260675450273,-0.8823066823532419,0.13193462266509934,3.0312459910460635e-18,1.1469263760634507,0.2051777870924908
DQ4E::1,31.431235988461516,41.008271835442784,8.945313961479503,-0.9410115857924232,-4.33915220181118,0.18028877636841667,4.540912319341215e-18,1.150049657059092,0.22214138269767558
Q4EL_3,31.660635988461515,41.44242754524543,11.052764494569495,-0.9515590759453822,-4.847641752373632,0.18817784034938784,5.205478586503471e-18,1.1509352975403835,0.2258135192832521
