name,s,betx,bety,alfx,alfy,dx,dy
sffsb1__036,738.352712462687,100547.28462641063,46014.237724497005,-626.1430928095459,-275.60049916402073,-0.011035970851324177,0.0
sffsb1__037,741.2362674359441,104190.74228315537,47617.381660814084,-637.386713463831,-280.3604418217659,-0.011206950130320501,0.0
sffsb1__038,744.1198224092012,107899.04313651385,49247.97670977723,-648.6303341184934,-285.1203844795097,-0.01137882978731278,-0.0
sffsb1__039,747.0033773824583,111672.18718641339,50906.0228713869,-659.8739547730802,-289.8803271372546,-0.011551609822316544,-0.0
sffsb1__040,749.8869323557154,115510.17443248091,52591.520145642826,-671.11757542541,-294.6402697949992,-0.011725290235324547,-0.0
lx0__015,752.7704873289725,119413.00487525691,54304.46853254505,-682.3611960786842,-299.40021245274363,-0.011899871026341963,-0.0
sffsb1a__001,753.2510798245154,120069.7808153857,54592.62878853606,-684.2351328549124,-300.19353622903446,-0.01192904285634622,-0.0
sffsb1a__002,756.1346347977725,124048.26165431943,56337.60347352561,-695.4787535092037,-304.9534788867787,-0.012104524025375759,-0.0
sffsb1a__003,759.0181897710296,128091.58568987978,58110.02927116149,-706.7223741638708,-309.713421544523,-0.012280905572412001,0.0
sffsb1a__004,761.9017447442867,132199.75292180534,59909.906181444116,-717.9659948174676,-314.4733642022695,-0.012458187497458691,0.0
sffsb1a__005,764.7852997175438,136372.7633501578,61737.2342043728,-729.2096154703648,-319.23330686001464,-0.012636369800507554,-0.0
sffsb1a__006,767.6688546908009,140610.616974792,63592.01333994782,-740.4532361218209,-323.99324951775986,-0.012815452481563759,0.0
sffsb1a__007,770.552409664058,144913.3137955869,65474.24358816915,-751.6968567712642,-328.75319217550503,-0.012995435540623167,-0.0
sffsb1a__008,773.4359646373151,149280.85381293524,67383.92494903707,-762.9404774207838,-333.5131348332515,-0.013176318977704406,0.0
sffsb1a__009,776.3195196105722,153713.23702712214,69321.05742255117,-774.1840980718039,-338.2730774909971,-0.013358102792806447,-0.0
sffsb1a__010,779.2030745838293,158210.4634383304,71285.64100871155,-785.4277187251581,-343.03302014874265,-0.013540786985923075,-0.0
lx0__016,782.0866295570864,162772.53304504024,73277.67570751828,-796.6713393732986,-347.79296280648833,-0.01372437155706464,0.0
sffsb1b__001,782.5672220526293,163539.18217922573,73612.35034882653,-798.5452761492513,-348.5862865827786,-0.013755044017089456,0.0
sffsb1b__002,785.4507770258864,168176.90218198585,75636.41134572065,-809.7888967978138,-353.3462292405244,-0.013939528966251731,-0.0
sffsb1b__003,788.3343319991435,172879.46538141996,77687.92345526116,-821.0325174469992,-358.10617189827025,-0.014124914293434895,0.0
sffsb1b__004,791.2178869724006,177646.87177764406,79766.88667744798,-832.2761380973195,-362.8661145560162,-0.01431119999863575,-0.0
sffsb1b__005,794.1014419456577,182479.12136971694,81873.30101228146,-843.5197587443666,-367.62605721376366,-0.014498386081848091,0.0
sffsb1b__006,796.9849969189148,187376.21415894834,84007.166459761,-854.7633793942401,-372.38599987150985,-0.01468647254308537,-0.0
sffsb1b__007,799.8685518921719,192338.15014457228,86168.48301988657,-866.0070000433682,-377.1459425292548,-0.014875459382352761,0.0
sffsb1b__008,802.752106865429,197364.9293268145,88357.25069265882,-877.2506206927773,-381.9058851870012,-0.015065346599635779,-0.0
sffsb1b__009,805.6356618386861,202456.55170532688,90573.4694780767,-888.4942413409195,-386.6658278447448,-0.015256134194931312,-0.0
sffsb1b__010,808.5192168119432,207613.01728022093,92817.13937614011,-899.7378619883168,-391.4257705024853,-0.01544782216824247,0.0
d2od__001,811.4027717852003,212834.32605174175,95088.26038684949,-910.9814826360375,-396.18571316022457,-0.01564041051958374,-0.0
octdrift3__001,834.8598407051778,257717.72167256018,114583.25409981336,-1002.4457990919426,-434.90677241288523,-0.017210735478550277,-0.0
fd_entrance__001,837.112767262648,262254.38639400486,116551.25865970289,-1011.2304596269136,-438.6257239588492,-0.017361556828650884,-0.0
sf1__001,837.112767262648,262254.38639400486,116551.25865970289,-1011.2304596269136,-438.6257239588492,-0.017361556828650884,-0.0
d11__001,838.0739522537338,264178.37027348904,117398.68228500317,-1014.8880548063447,-440.22204565194426,-0.017425903008765512,-0.0
qf1_entrance__001,838.0752708138311,264181.04666205234,117399.84320632071,-1014.8931957089434,-440.22422227148274,-0.017425991279292313,-0.0
qf1__001,840.494688778593,254535.3667262205,126259.78479445372,4927.606786051964,-3289.3178285527733,-0.017104907410980266,-0.0
qf1_exit__001,842.9141067433548,218239.03290212815,150424.28985977898,9795.788514012576,-6882.593225493017,-0.015838457028212027,-0.0
d_octf1__001,845.3335247081166,163205.38236653534,195360.38396426663,12528.289602678728,-12033.000166997854,-0.013696635235627617,-0.0
octf1__001,845.3335247081166,163205.38236653534,195360.38396426663,12528.289602678728,-12033.000166997854,-0.013696635235627617,-0.0
d1_dec0_lx03__001,845.3335247081166,163205.00147897695,195360.18338293667,12528.260356413874,-12032.98783216404,-0.013696635235627617,-0.0
sd0__001,851.1010851374754,50681.340789861024,358816.5962022572,6981.489401263673,-16307.662399656954,-0.0076325767318644235,-0.0
skd0__001,852.0622701285611,38149.84110874403,390841.39706213446,6057.2580964528715,-17019.648057873874,-0.006621979254772835,-0.0
d00__001,852.0622701285611,38149.84940147247,390844.1327726682,6057.259413863812,-17019.76705293642,-0.006621979254772835,-0.0
newoct2__001,852.0957772454742,37745.00657874028,391985.5315260237,6025.03414184182,-17044.600710547413,-0.006586749607898365,-0.0
